,site,site_address
Rio Lindo Adventist Academy,Rio Lindo Adventist Academy,"3200 Rio Lindo Ave, Healdsburg, CA 95448"
Ripon Christian High School,Ripon Christian High School,"435 Maple Ave, Ripon, CA 95366"
Ripon High School,Ripon High School,"301 North Acacia Avenue, Ripon, CA 95366"
Rivera Middle School,Rivera Middle School,"945 Buena Vista Drive, Merced, CA 95348"
Rocklin High School,Rocklin High School,"5301 Victory Lane, Rocklin, CA 95765"
Rodriguez High School,Rodriguez High School,"5000 Red Top Rd, Fairfield, CA"
Sacramento City College,Sacramento City College,"3835 Freeport Blvd, Sacramento, CA 95822"
Sacramento Convention Center,Sacramento Convention Center,"1400 J Street, Sacramento, CA 95814"
Sacramento Convention Center - Softball Complex,Sacramento Convention Center - Softball Complex,"3450 Longview Drive, Sacramento, CA 95821"
San Benito High School,San Benito High School,"1220 Monterey St, Hollister, CA 95023"
San Francisco State University,San Francisco State University,"1600 Holloway Avenue, San Francisco, CA 94132"
San Jose City College,San Jose City College,"2100 Moorpark Avenue, San Jose, CA 95128"
San Jose Convention Center,San Jose Convention Center,"408 Almaden Blvd., San Jose, CA 95110"
San Jose Convention Center – South Hall,San Jose Convention Center – South Hall,"435 S Market St, San Jose, CA 95113"
San Jose State University – Spartan Gym,San Jose State University – Spartan Gym,"One Washington Square, San Jose, CA 95192"
San Mateo Event Center ,San Mateo Event Center ,"1346 Saratoga Drive, San Mateo, CA 94403"
Santa Clara Convention Center,Santa Clara Convention Center,"5001 Great America Pkwy., Santa Clara, CA 95054"
Santa Clara County Fairgrounds,Santa Clara County Fairgrounds,"344 Tully Road, San Jose, CA 95111"
Santa Clara High School,Santa Clara High School,"3000 Benton Street, Santa Clara, CA 95051"
Santa Cruz Beach Boardwalk,Santa Cruz Beach Boardwalk,"400 Beach Street, Santa Cruz, CA 95060"
Santa Cruz High School,Santa Cruz High School,"415 Walnut Avenue Santa Cruz, CA 95060"
Scotts Valley High School,Scotts Valley High School,"555 Glenwood Dr Scotts Valley, CA 95066"
Sea Crest School,Sea Crest School,"901 Arnold Way, Half Moon Bay, CA 94019"
Serramonte Gym,Serramonte Gym,"699 Serramonte Blvd, Daly City, CA 94015"
Shasta College,Shasta College,"11555 Old Oregon Trail, Redding, CA 96003"
Sheldon High School,Sheldon High School,"8333 Kingsbridge Drive, Sacramento, CA  95829"
Skylane Facility,Skylane Facility,"5621 Skylane Blvd, Santa Rosa, CA 95403"
Skyline College,Skyline College,"3300 College Drive, San Bruno, CA 94066"
Solano Community College,Solano Community College,"4000 Suisun Valley Rd, Fairfield, CA 94534"
Sonoma State University,Sonoma State University,"1801 East Cotati Ave. Rohnert Park, CA 94928"
Spanish Springs HS,Spanish Springs HS,"1065 Eagle Canyon Drive, Sparks, NV 89441"
Speedway Meadow – Golden Gate Park,Speedway Meadow – Golden Gate Park,"John F. Kennedy Drive, San Francisco, CA 94121"
SportsHouse,SportsHouse,"3151 Edison Way, Redwood City, CA 94063"
Spring View Middle School,Spring View Middle School,"5040 Fifth Street, Rocklin, CA 95677"
St. Anthony Elementary School,St. Anthony Elementary School,"5680 N. Maroa Avenue, Fresno, CA 93704"
St. Francis High School,St. Francis High School,"1885 Miramonte Ave, Mountain View, CA 94040"
St. Ignatius College Preparatory,St. Ignatius College Preparatory,"2001 37th Avenue, San Francisco, CA 94116"
St. Mary’s College,St. Mary’s College,"1928 St. Mary’s Road, Moraga, CA 94575"
St. Vincent de Paul High School,St. Vincent de Paul High School,"849 Keokuk Street, Petaluma, CA 94952"
Sunnyside High School,Sunnyside High School,"1019 S. Peach Avenue, Fresno, CA 93727"
Sunset Facility,Sunset Facility,"85 Enterprise Ct #D, Galt, Ca 95632"
Sutter Union High School,Sutter Union High School,"2665 Acacia Avenue, Sutter, CA 95982"
SynergyForce Facility,SynergyForce Facility,"3735 Cincinnati Avenue, Rocklin, CA, 95765"
The Foundry,The Foundry,"2575 East Bayshore Rd, Redwood City, CA 94063"
The King's Academy,The King's Academy,"562 N Britton Ave, Sunnyvale, CA 94085"
Tracy High School,Tracy High School,"315 E 11th Street, Tracy, Ca 95376"
Truckee Donner Rec. Parks District,Truckee Donner Rec. Parks District,"8924 Donner Pass Road, Truckee, CA"
Truckee High School,Truckee High School,"11725 Donner Pass Road, Truckee, CA 96161"
Tulare Western High School,Tulare Western High School,"824 W Maple Ave, Tulare, CA 93274"
Valley High School,Valley High School,"6300 Ehrhardt Ave, Sacramento, CA 95823"
Washington Middle School,Washington Middle School,"560 Iverson Street, Salinas, CA 93901"
Watsonville High School,Watsonville High School,"250 E. Beach Street Watsonville, CA 95076"
West High School,West High School,"1775 W. Lowell, Tracy, CA 95376"
West Valley College,West Valley College,"14000 Fruitvale Avenue, Saratoga, CA 95070"
Westmont High School,Westmont High School,"4805 Westmont Avenue, Campbell, CA 95008"
Whitney High School,Whitney High School,"701 Wildcat Blvd., Rocklin, CA 95765"
Wilcox High School,Wilcox High School,"3250 Monroe Avenue, Santa Clara, CA 95051"
Windsor High School,Windsor High School,"8695 Windsor Rd, Windsor, CA 95492"
Woodlake Club Volleyball Gym,Woodlake Club Volleyball Gym,"400 W. Whitney, Woodlake, CA 93286"
Woodside High School,Woodside High School,"199 Churchill Avenue, Woodside, CA 94062"
Woodside School – Community Gym,Woodside School – Community Gym,"3195 Woodside Rd, Woodside CA 94062"
Yuba City HS,Yuba City HS,"850 B Street, Yuba City, CA 95991"
