,age,team,code,city
City Beach Black 13‐1,13,City Beach Black 13‐1,fj3beach1nc,"Santa Clara, CA"
Frisco Bay 13‐1,13,Frisco Bay 13‐1,fj3frisc1nc,"San Francisco, CA"
NCVC Asics 13‐1,13,NCVC Asics 13‐1,fj3ncvcb1nc,"Meadow Vista, CA"
650 Xtreme Red 13‐1,13,650 Xtreme Red 13‐1,fj3x650t1nc,"San Mateo, CA"
Marin Jrs Black 13‐1,13,Marin Jrs Black 13‐1,fj3marin1nc,"San Rafael, CA"
SF Tremors Falcons 13‐3,13,SF Tremors Falcons 13‐3,fj3sftrm3nc,"SAN FRANCISCO, CA"
Central VBC Gold 13‐1,13,Central VBC Gold 13‐1,fj3cvalj1nc,"Fresno, CA, CA"
PRVA Surf 13‐1,13,PRVA Surf 13‐1,fj3pacri1nc,"Pleasant Hill, CA"
Gold Cal Jrs Air 13‐1,13,Gold Cal Jrs Air 13‐1,fj3gldcl1nc,"Granite Bay, CA"
Vision 13 Blue,13,Vision 13 Blue,fj3vsion2nc,"Los Gatos, CA"
Stingray Black 13‐1,13,Stingray Black 13‐1,fj3stray1nc,"San Jose, CA"
SF JRS Black  13‐2,13,SF JRS Black  13‐2,fj3sfjrs2nc,"San Francisco, CA"
Xceleration Blue 13‐1,13,Xceleration Blue 13‐1,fj3xcele1nc,"Orinda, CA"
Red Rock 13‐2,13,Red Rock 13‐2,fj3rrock2nc,"Redwood City, CA"
Beach Vibes Marlins 13‐1,13,Beach Vibes Marlins 13‐1,fj3bevbs1nc,"Berkeley, CA"
Polaris 13's Power ,13,Polaris 13's Power ,fj3solvb1nc,"Redwood City , CA"
Vibe Impact 13's,13,Vibe Impact 13's,fj3vvibe2nc,"Danville, CA"
SynergyForce 13 Gold,13,SynergyForce 13 Gold,fj3force1nc,"Sacramento, CA"
Kamikaze 13‐1,13,Kamikaze 13‐1,fj3kamik1nc,"Foster City , CA"
Vibe Tsunami 13's,13,Vibe Tsunami 13's,fj3vvibe1nc,"Danville, CA"
Five Starz 13‐1,13,Five Starz 13‐1,fj3fives1nc,"Davis, CA"
650 Xtreme Navy 13‐2,13,650 Xtreme Navy 13‐2,fj3x650t2nc,"San Mateo, CA"
Academy 13 Gold,13,Academy 13 Gold,fj3acdvp1nc,"PALO ALTO, CA"
Marin Jrs Green 13‐2,13,Marin Jrs Green 13‐2,fj3marin2nc,"San Rafael, CA"
Turlock Crush 13‐1,13,Turlock Crush 13‐1,fj3turlo1nc,"Turlock, CA"
Vacaville Extreme 13‐1,13,Vacaville Extreme 13‐1,fj3vacex1nc,"Vacaville, CA"
Chico Matrix 14‐1,14,Chico Matrix 14‐1,fj4covcc1nc,"Chico, CA"
Golden Bear Mizuno 14‐1,14,Golden Bear Mizuno 14‐1,fj4gbear1nc,"Vallejo, CA"
Carmel Beach Dane 14's,14,Carmel Beach Dane 14's,fj4carmb1nc,"Carmel Valley, CA"
Beach Vibes Sharks 14‐1,14,Beach Vibes Sharks 14‐1,fj4bevbs1nc,"Berkeley, CA"
Encore Red 14‐2,14,Encore Red 14‐2,fj4encoe2nc,"Redwood City, CA"
Absolute White 14‐3,14,Absolute White 14‐3,fj4absol3nc,"San Rafael, CA"
NorCal Blue 14‐2,14,NorCal Blue 14‐2,fj4norca2nc,"Pleasanton, CA"
Central VBC Gold 14‐1,14,Central VBC Gold 14‐1,fj4cvalj1nc,"Fresno, CA, CA"
PRVA Hurricane 14‐1,14,PRVA Hurricane 14‐1,fj4pacri1nc,"Pleasant Hill, CA"
Adrenaline 14‐1,14,Adrenaline 14‐1,fj4adren1nc,"San Martin, CA"
Spark Laurie 14‐1,14,Spark Laurie 14‐1,fj4spark1nc,"lodi, CA"
MVVC 14 Black 14‐2,14,MVVC 14 Black 14‐2,fj4mouvi2nc,"Sunnyvale, CA"
Vacaville Extreme 14‐1,14,Vacaville Extreme 14‐1,fj4vacex1nc,"Vacaville, CA"
Diablo Black 14‐1,14,Diablo Black 14‐1,fj4dvgvc1nc,"Concord, CA"
Endline Black 14‐1,14,Endline Black 14‐1,fj4endli1nc,"Fremont, CA"
Academy 14 Gold ,14,Academy 14 Gold ,fj4acdvp1nc,"PALO ALTO, CA"
Evolve Black 14‐1,14,Evolve Black 14‐1,fj4evolv1nc,"Napa, CA"
LVBC Polo 14‐1,14,LVBC Polo 14‐1,fj4legvb1nc,"West Sacramento, CA"
Aspire Black 14‐1,14,Aspire Black 14‐1,fj4folso1nc,"Folsom, CA"
Chico Matrix 14‐2,14,Chico Matrix 14‐2,fj4covcc2nc,"Chico, CA"
XcelerationWhite 14‐2,14,XcelerationWhite 14‐2,fj4xcele2nc,"Orinda, CA"
Pulse Black 14‐1,14,Pulse Black 14‐1,fj4pulse1nc,"Ripon, CA"
Marin Jrs Black 14‐1,14,Marin Jrs Black 14‐1,fj4marin1nc,"San Rafael, CA"
Vibe Chaos 14's,14,Vibe Chaos 14's,fj4vvibe1nc,"Danville, CA"
Nets 14‐1,14,Nets 14‐1,fj4nnets1nc,"Dublin, CA"
Sky 14‐1,14,Sky 14‐1,fj4skyvo1nc,"Alameda, CA"
Tandem Obsidian 14‐1,14,Tandem Obsidian 14‐1,fj4tande1nc,"San Francisco, CA"
Xtreme Navy 14‐2,14,Xtreme Navy 14‐2,fj4x650t2nc,"San Mateo, CA"
Twisters 14‐1,14,Twisters 14‐1,fj4twstr1nc,"Merced, CA"
Turlock Crush 14‐1,14,Turlock Crush 14‐1,fj4turlo1nc,"Turlock, CA"
Stingray Blue 14‐2,14,Stingray Blue 14‐2,fj4stray2nc,"San Jose, CA"
Nomar Navy 14‐1,14,Nomar Navy 14‐1,fj4nomar1nc,"Novato, CA"
Slainte Forest 14‐2,14,Slainte Forest 14‐2,fj4slanb2nc,"San Francisco, CA"
Xplosion 14‐1,14,Xplosion 14‐1,fj4xplvc1nc,"Tracy, CA"
Titan Ike14‐1,14,Titan Ike14‐1,fj4titav1nc,"Santa Clara, CA"
NNJ Nate 14‐2,14,NNJ Nate 14‐2,fj4nnejr2nc,"Sparks, NV"
Aftershock 14‐1,14,Aftershock 14‐1,fj4aftes1nc,"Santa Rosa, CA"
PAEVBC Red 14‐1,14,PAEVBC Red 14‐1,fj4palel1nc,"Palo Alto, CA"
City Beach Green 14‐2,14,City Beach Green 14‐2,fj4beach2nc,"Santa Clara, CA"
Club Solano Chaos 14‐3,14,Club Solano Chaos 14‐3,fj4solno3nc,"Suisun, CA"
Polaris 14's Power ,14,Polaris 14's Power ,fj4solvb1nc,"Redwood City , CA"
FAULTLINE 14s CA,14,FAULTLINE 14s CA,fj4hollr1nc,"Hollister, CA"
Elite Gold 14‐1,14,Elite Gold 14‐1,fj4elvte1nc,"San Luis Obispo, CA"
Main Beach Girls 14 Power,14,Main Beach Girls 14 Power,fj4mainb2nc,"Capitola, CA"
Club Kalani Purple 14‐1,14,Club Kalani Purple 14‐1,fj4kalni1nc,"Alameda, CA"
IMUA Smack 14‐1,14,IMUA Smack 14‐1,fj4imuaw1nc,"Marina, CA"
LC Nevada 14‐1,14,LC Nevada 14‐1,fj4twnyv1nc,"Yerington, NV"
Lakas Maroon 14‐1,14,Lakas Maroon 14‐1,fj4laiat1nc,"Union City, CA"
Diablo Green 14‐2,14,Diablo Green 14‐2,fj4dvgvc2nc,"Concord, CA"
Club Solano Fury 14‐2,14,Club Solano Fury 14‐2,fj4solno2nc,"Suisun, CA"
North Valley Jrs 14‐1,14,North Valley Jrs 14‐1,fj4nvjrs1nc,"Marysville, CA"
SF Thunderbolts 14‐1,14,SF Thunderbolts 14‐1,fj4sfthu1nc,"South San Francisco, CA"
Infinity 14‐1,14,Infinity 14‐1,fj4infty1nc,"elk grove, CA"
Empire Gold 14‐2,14,Empire Gold 14‐2,fj4mpire2nc,"Santa Rosa, CA"
Core Black 14‐2,14,Core Black 14‐2,fj4corev2nc,"Dublin, CA"
I DIG SFVB 14‐1,14,I DIG SFVB 14‐1,fj4idisf1nc,"San Francisco, CA"
United 14 Black,14,United 14 Black,fj4lkhic1nc,"Yuba City, CA"
EBVA  14‐1,14,EBVA  14‐1,fj4estby1nc,"Pleasanton, CA"
Turlock Crush 14‐2,14,Turlock Crush 14‐2,fj4turlo2nc,"Turlock, CA"
Ohlone Juniors 14‐1,14,Ohlone Juniors 14‐1,fj4ohloe1nc,"Fremont, CA"
Pulse Pink 14‐2,14,Pulse Pink 14‐2,fj4pulse2nc,"Ripon, CA"
Golden Bear Blue 14‐2,14,Golden Bear Blue 14‐2,fj4gbear2nc,"Vallejo, CA"
Varsity 14 Julissa,14,Varsity 14 Julissa,fj4varvb1nc,"Stockton, CA"
PRVA Riptide 14‐2,14,PRVA Riptide 14‐2,fj4pacri2nc,"Pleasant Hill, CA"
FPVC Gold 14‐1,14,FPVC Gold 14‐1,fj4fpvcv1nc,"Elk Grove, CA"
VR 14 Black,14,VR 14 Black,fj4valre1nc,"Tracy, CA"
EBVA 14‐2,14,EBVA 14‐2,fj4estby2nc,"Pleasanton, CA"
Palo Alto Platinum 14‐2,14,Palo Alto Platinum 14‐2,fj4palto2nc,"Palo Alto, CA"
BAVC Power Black 14‐1,14,BAVC Power Black 14‐1,fj4bablv1nc,"Walnut Creek, CA"
Slainte White 14‐3,14,Slainte White 14‐3,fj4slanb3nc,"San Francisco, CA"
Club Cruz 14 Gold,14,Club Cruz 14 Gold,fj4clcrv1nc,"Santa Cruz, CA"
Club Kalani Teal 14‐2,14,Club Kalani Teal 14‐2,fj4kalni2nc,"Alameda, CA"
Red Rock 14‐1,14,Red Rock 14‐1,fj4rrock1nc,"Redwood City, CA"
Vision 14 Gold,14,Vision 14 Gold,fj4vsion1nc,"Los Gatos, CA"
Absolute Black 14‐1,14,Absolute Black 14‐1,fj4absol1nc,"San Rafael, CA"
SF JRS RoShamBo 14‐1,14,SF JRS RoShamBo 14‐1,fj4sfjrs1nc,"San Francisco, CA"
Encore Navy 14‐1,14,Encore Navy 14‐1,fj4encoe1nc,"Redwood City, CA"
Club Solano Velocity 14‐1,14,Club Solano Velocity 14‐1,fj4solno1nc,"Suisun, CA"
Frisco Bay 14‐1,14,Frisco Bay 14‐1,fj4frisc1nc,"San Francisco, CA"
Rage 14‐Garren,14,Rage 14‐Garren,fj4ripor1nc,"Ripon, CA"
Slainte Black 14‐1,14,Slainte Black 14‐1,fj4slanb1nc,"San Francisco, CA"
NorCal Black 14‐1,14,NorCal Black 14‐1,fj4norca1nc,"Pleasanton, CA"
Five Starz 14‐1,14,Five Starz 14‐1,fj4fives1nc,"Davis, CA"
NCVC Asics 14‐1,14,NCVC Asics 14‐1,fj4ncvcb1nc,"Meadow Vista, CA"
